,cid,drug_id
0,10096043,1559
1,17755052,1058
2,60838,1088
3,11488320,1549
4,3385,1073
5,9914412,1050
6,11364421,1086
7,51371303,1129
8,5310940,1089
9,9858940,1194
10,2984337,1940
11,9927531,2043
12,68947304,2045
13,24905401,2170
14,5384616,1084
15,41867,1511
16,24737642,1557
17,46931953,1933
18,353472,1830
19,73555129,1855
20,25227436,1916
21,71496458,1919
22,9933475,1922
23,59472121,1613
24,56649450,1560
25,46926973,1598
26,23725625,1017
27,10384072,1046
28,46930998,1053
29,11719003,2047
30,176870,1168
31,46926350,1180
32,56962336,1237
33,9926054,1249
34,44819241,1259
35,25126798,1507
36,24871506,1625
37,71299339,1634
38,60700,1808
39,52913813,1918
40,457193,1911
41,10184653,1032
42,5330286,1054
43,44224160,1594
44,11327430,1038
45,71297207,1997
46,25227847,2044
47,24180719,1036
48,52918385,1131
49,24958200,1177
50,25099184,1250
51,2726824,1268
52,57345410,1563
53,78243717,1620
54,9936746,1626
55,59473233,1630
56,1018,1635
57,2578,1807
58,452548,1809
59,3011155,1814
60,234820,1825
61,54761306,1917
62,51039095,1786
63,11152667,1022
64,148124,1007
65,25262965,1059
66,216239,1085
67,5494449,1096
68,104741,1200
69,44462760,1373
70,44631912,1632
71,84691,1005
72,11634725,2096
73,6710780,1004
74,6253,1006
75,16720766,1529
76,70676303,1926
77,68107965,1927
78,68289010,1936
79,24753719,1621
80,44462758,1631
81,457193,1811
82,657237,1813
83,6438436,1838
84,11228183,1910
85,4261,1593
86,3062316,1079
87,24978538,1011
88,208908,1558
89,24866313,1564
90,44137675,2169
91,91663328,2109
92,123631,1010
93,11404337,1068
94,44632017,1239
95,2155128,1576
96,3899,1578
97,227681,1931
98,42623951,1615
99,53469448,1618
100,4212,1810
101,35397514,1853
102,56645356,1913
103,11626560,1083
104,11640390,1510
105,6450551,1021
106,387447,1191
107,16095342,1192
108,11707110,1372
109,49846579,1909
110,24785538,2171
111,11433190,1047
112,11178236,1941
113,16241412,1996
114,51042438,2106
115,118704762,2107
116,117072552,2110
117,51000408,2111
118,11977753,1057
119,72200024,1614
120,9825149,1932
121,49847690,1617
122,57519544,1622
123,68740,1802
124,148124,1819
125,243725,1827
126,11655119,1852
127,2802462,1854
128,24788740,1924
129,56941241,1925
130,16224745,2046
131,60750,1190
132,1401,1049
133,5311,1012
134,44450571,1052
135,2733526,1199
136,51042438,1553
137,46907787,2172
138,5311497,2048
139,9826528,1060
140,91668541,1928
141,992586,1939
142,8269,1804
143,104741,1816
144,5978,1818
145,46236925,1849
146,66577015,1873
147,46843057,1912
148,644241,1013
149,24771867,1051
150,36314,1080
151,51001932,1561
152,176158,1025
153,5278396,1030
154,156422,1042
155,24856436,1179
156,5394,1375
157,24360,1003
158,42642645,2040
159,10390396,1091
160,25124816,1093
161,2907,1512
162,10385095,1930
163,6914657,1248
164,46943432,1624
165,71268957,1627
166,60167849,1629
167,24821094,1799
168,442205,1835
169,11719003,1908
170,78209992,1915
