,gene_symbol,driver_gene_status,count_seq,count_numb
0,ABCB1,Tumour Suppressor,778,0
1,ABL2,Tumour Suppressor,778,0
2,ACACA,Tumour Suppressor,778,0
3,ACVR1B,Tumour Suppressor,778,0
4,ACVR2A,Tumour Suppressor,778,804
5,ADCY1,Oncogene,778,0
6,ADGRL2,Tumour Suppressor,0,0
7,AFDN,Tumour Suppressor,0,0
8,AFF4,Tumour Suppressor,778,0
9,AHCTF1,Tumour Suppressor,778,0
10,AHNAK,Tumour Suppressor,778,0
11,AKAP9,Tumour Suppressor,778,804
12,AKT1,Oncogene,778,804
13,ALK,Tumour Suppressor,778,0
14,AMER1,Tumour Suppressor,0,0
15,AMOT,Tumour Suppressor,778,0
16,ANK3,Tumour Suppressor,778,804
17,APAF1,Tumour Suppressor,778,0
18,APC,Tumour Suppressor,778,804
19,AQR,Tumour Suppressor,778,0
20,ARAP3,Tumour Suppressor,778,0
21,ARFGAP3,Tumour Suppressor,778,804
22,ARFGEF1,Tumour Suppressor,778,0
23,ARFGEF2,Tumour Suppressor,778,0
24,ARHGAP26,Oncogene,778,0
25,ARHGAP29,Tumour Suppressor,778,0
26,ARHGEF6,Tumour Suppressor,778,0
27,ARID1A,Tumour Suppressor,778,0
28,ARID2,Tumour Suppressor,778,0
29,ARID4A,Tumour Suppressor,778,0
30,ARID4B,Tumour Suppressor,778,804
31,ARID5B,Tumour Suppressor,778,0
32,ASH1L,Tumour Suppressor,778,0
33,ASPM,Tumour Suppressor,778,0
34,ASXL1,Tumour Suppressor,778,804
35,ATM,Tumour Suppressor,778,0
36,ATR,Tumour Suppressor,778,0
37,ATRX,Tumour Suppressor,778,804
38,AXIN1,Tumour Suppressor,778,0
39,AXIN2,Tumour Suppressor,778,0
40,B2M,Tumour Suppressor,778,804
41,BAP1,Tumour Suppressor,778,0
42,BAZ2B,Tumour Suppressor,778,0
43,BCLAF1,Tumour Suppressor,778,0
44,BCOR,Tumour Suppressor,778,0
45,BLM,Tumour Suppressor,778,804
46,BMPR2,Tumour Suppressor,778,0
47,BNC2,Tumour Suppressor,778,804
48,BPTF,Tumour Suppressor,778,0
49,BRAF,Tumour Suppressor,778,0
50,BRCA1,Tumour Suppressor,778,0
51,BRCA2,Tumour Suppressor,778,0
52,BRWD1,Tumour Suppressor,778,0
53,CAD,Tumour Suppressor,778,0
54,CASP8,Tumour Suppressor,778,0
55,CCAR1,Tumour Suppressor,778,0
56,CCND1,Oncogene,778,804
57,CDC27,Tumour Suppressor,778,0
58,CDC73,Tumour Suppressor,778,0
59,CDH1,Tumour Suppressor,778,0
60,CDK12,Tumour Suppressor,778,804
61,CDKN1A,Tumour Suppressor,778,0
62,CDKN1B,Tumour Suppressor,778,0
63,CDKN2A,Tumour Suppressor,778,804
64,CEP290,Tumour Suppressor,778,0
65,CHD4,Tumour Suppressor,778,804
66,CHD6,Tumour Suppressor,778,0
67,CHD9,Tumour Suppressor,778,1609
68,CIC,Tumour Suppressor,778,804
69,CLASP2,Tumour Suppressor,778,0
70,CLOCK,Tumour Suppressor,778,0
71,CLSPN,Tumour Suppressor,778,0
